Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
24239,2110,2640,20,2110,2640,20,168450
24240,2170,2620,20,1280,730,10,166407
24241,2070,2770,30,580,0,0,183714
24242,2170,2600,20,0,0,0,165506
24243,2050,2610,10,0,590,0,167168
24244,2170,2610,10,610,730,0,166096
24245,2380,2730,20,2380,2730,20,173408
24246,2170,2610,30,1370,730,10,166908
24247,2070,2630,20,580,730,10,169002
24248,2160,2970,20,600,2970,20,183652
24249,2070,2640,20,2070,1560,10,168851
24250,2160,2600,20,610,730,0,165645
24251,2050,2690,20,570,760,0,175942
24252,2460,2620,20,2460,2620,20,166477
24253,2080,2640,20,1370,740,0,171335
24254,2150,2630,10,600,740,0,166677
24255,2050,2920,20,570,2920,20,183483
24256,2180,2620,10,2180,1510,0,165846
24257,2070,2620,20,580,730,10,167860
24258,2170,2790,20,610,0,0,184804
24259,2080,2650,20,0,0,0,170764
24260,2150,2620,20,0,620,0,166948
24261,2070,2590,20,580,720,10,165937
24262,2330,2620,20,0,0,0,167749
24263,2060,2620,20,0,0,0,167589
24264,2170,2600,30,480,730,10,164964
24265,2060,2750,20,580,0,0,180739
24266,2160,2620,30,0,0,0,167348
24267,2140,2620,10,0,620,0,166518
24268,6370,8580,30,6260,2400,10,601865
24269,2220,2720,20,620,760,10,173868
24270,2520,2640,30,2520,2640,30,168421
24271,2180,2640,20,1340,740,10,169201
24272,2170,2640,30,610,740,10,169513
24273,2170,2910,30,610,0,0,181810
24274,2170,2630,20,0,0,0,167780
24275,2170,2620,30,0,0,0,167919
24276,2170,2760,20,0,0,0,181399
24277,2310,2660,20,0,0,0,170383
24278,2160,2650,20,0,0,0,169452
24279,2160,2620,20,0,480,10,167379
24280,2480,2640,20,2480,2640,20,168060
24281,2150,2630,20,1360,740,10,167669
24282,2170,2630,20,610,740,0,168741
24283,1970,2920,20,550,2920,20,183302
24284,2180,2710,10,2180,1530,0,174520
24285,2150,2630,10,600,740,0,167057
24286,2150,2750,30,600,0,0,179978
24287,2200,2640,20,0,0,0,168420
24288,2180,2640,20,0,650,10,169803
24289,2160,2600,20,610,730,0,165646
24290,2300,2710,20,0,0,0,174750
24291,2180,2610,20,0,0,0,166737
24292,2160,2630,10,520,740,0,166808
24293,2190,2940,30,610,2940,30,183963
24294,2170,2650,20,2170,1500,10,169292
24295,2170,2630,20,610,740,0,167709
24296,2150,2630,10,600,740,0,167229
24297,2480,2640,20,0,0,0,167799
24298,2160,2630,30,0,0,0,168270
24299,2150,2630,20,0,0,0,168830
24300,2160,2940,20,0,2940,20,184024
24301,10170,3190,20,4230,3190,20,202661
24302,2190,2640,30,2190,1310,10,168810
24303,2180,2640,20,610,740,10,168501
24304,2170,2760,20,610,0,0,182100
24305,2180,2650,20,0,0,0,170084
24306,2160,2630,30,0,640,10,167829
24307,2160,2610,30,610,730,10,167059
24308,2530,2730,20,2530,2730,20,172276
24309,2160,2660,10,1260,750,0,170183
24310,2160,2610,10,610,730,0,165785
24311,2150,2920,20,600,2920,20,180899
24312,2160,2630,20,2160,1520,10,167699
24313,2150,2630,10,600,740,0,167990
24314,2170,2610,10,610,730,0,167008
24315,2170,2670,20,2170,2670,20,171655
24316,2170,2630,20,2170,2630,20,168160
24317,2170,2620,20,2170,2620,20,166508
24318,2450,2660,30,2450,2660,30,170593
24319,2160,2620,30,2160,2620,30,167749
24320,2160,2630,20,2160,2630,20,168079
24321,2160,3110,30,2160,3110,30,215290
24322,2210,2640,20,1900,740,0,168099
24323,2170,2640,10,610,740,0,167729
24324,2170,2640,30,610,740,10,169582
24325,2480,2630,30,0,0,0,168360
24326,2170,2610,30,0,0,0,167679
24327,2170,2610,20,0,0,0,166397
24328,2150,2920,30,0,2920,30,183032
24329,2170,2630,30,1990,740,10,168581
24330,2160,2640,10,610,740,0,168209
24331,2150,2770,30,600,0,0,181480
24332,2200,2620,30,0,0,0,167549
24333,2140,2660,20,0,650,10,170804
24334,6430,8780,20,6270,2460,10,636716
24335,2210,2930,20,620,2930,20,187117
24336,2150,2640,30,2150,2640,30,168812
24337,2160,2630,30,2160,880,10,167919
24338,2180,2640,20,610,740,0,169252
24339,2330,2740,20,0,0,0,173918
24340,2170,2640,20,0,0,0,169352
24341,2160,2630,20,540,740,10,168319
24342,2170,2910,20,610,0,0,178214
24343,1360,4060,20,0,0,0,403870
24344,790,1260,20,0,0,0,125116
24345,700,1390,20,0,0,0,138175
24346,710,1220,10,0,0,0,120709
24347,690,1200,10,0,0,0,118496
24348,690,1210,20,0,0,0,120309
24349,700,1250,10,0,0,0,123894
24350,700,1880,50,0,0,0,147850
24351,2140,2650,20,0,0,0,170043
24352,2170,2660,20,0,0,0,169121
24353,2160,2620,30,0,0,0,167960
24354,2470,2660,20,2470,2550,10,170783
24355,2170,2620,10,610,740,0,167159
24356,2170,2610,10,610,730,0,166297
24357,1990,2930,20,560,2930,20,184063
24358,2190,2650,20,2190,1500,0,169811
24359,2170,2650,20,610,740,10,168872
24360,2170,2770,20,610,0,0,182631
24361,2170,2630,20,0,0,0,168841
24362,2160,2620,20,0,630,10,167358
24363,2160,2640,10,610,740,0,169652
24364,2280,2640,30,0,0,0,169242
24365,2170,2630,20,0,0,0,168321
24366,2150,2630,20,500,730,10,168460
24367,5510,2710,30,5510,2710,30,492642
24368,7680,1360,10,3530,380,0,129753
24369,720,1360,20,200,0,0,135621
24370,700,1210,20,0,0,0,120399
24371,690,1190,20,0,0,0,118256
24372,680,1190,10,0,0,0,117445
24373,730,1250,10,0,0,0,123092
24374,690,3020,20,0,0,0,191244
24375,2200,2650,20,0,0,0,170374
24376,2190,2660,20,0,640,0,169892
24377,2160,2740,20,600,0,0,179687
24378,2170,2600,20,0,0,0,162922
24379,740,1220,10,0,0,0,120629
24380,710,1200,10,30,340,0,118406
24381,840,1190,20,240,330,10,117875
24382,1090,2650,20,0,0,0,172276
24383,2150,2620,20,0,0,0,166858
24384,2160,2630,30,160,740,10,168961
24385,2170,2890,20,610,0,0,180037
24386,2160,2630,30,0,0,0,168181
24387,2150,2650,20,0,0,0,169662
24388,2160,2620,20,0,0,0,167659
24389,2510,2720,30,0,0,0,176953
24390,2200,2620,30,0,0,0,167339
24391,2180,2640,20,0,0,0,168690
24392,2150,2910,20,0,0,0,182262
24393,2160,2630,30,0,0,0,168160
24394,2150,2640,20,0,0,0,168931
24395,2160,2750,20,0,0,0,180518
24396,2180,2640,30,0,0,0,169281
24397,2170,2620,30,0,0,0,167578
24398,2160,2630,20,0,0,0,167840
24399,2480,2620,20,0,0,0,168059
24400,5090,2590,30,0,0,0,372153
24401,7350,4070,70,3150,1140,20,201500
24402,2210,3920,10,620,1100,0,194388
24403,2070,2670,10,580,750,0,172927
24404,2530,2650,20,2530,2650,20,169031
24405,2160,2640,10,1320,740,0,167799
24406,2160,2630,30,600,740,10,168191
24407,2170,3050,20,610,3050,20,195581
24408,2180,2610,20,2180,1410,0,166949
24409,2150,2620,20,600,740,0,166627
24410,2160,2660,30,600,750,10,169813
24411,2200,2620,20,2200,2620,20,167509
24412,2160,2600,20,1360,730,0,165897
24413,2150,2600,30,600,730,10,165715
24414,2170,2910,30,610,2910,30,167899
24415,2160,2610,20,2160,1520,0,166638
24416,2180,2640,30,610,740,10,169502
24417,2160,2760,20,610,0,0,181329
24418,2170,2620,20,0,0,0,167189
24419,2170,2670,30,0,640,10,173337
24420,2190,2620,30,620,730,10,168901
24421,2500,2670,20,2500,2670,20,171104
24422,2170,2650,20,1330,740,10,169423
24423,2160,2650,20,610,740,10,168860
24424,2180,2910,30,610,2910,30,182952
24425,2180,2640,30,2180,1510,10,170152
24426,2180,2620,30,610,730,10,168521
24427,2160,2750,30,600,0,0,179957
24428,2180,2680,20,0,0,0,172356
24429,2160,4060,30,0,1050,10,201609
24430,1760,1310,10,490,370,0,128921
24431,720,2900,20,200,0,0,188109
24432,2180,2630,20,0,0,0,167880
24433,4870,5350,30,700,0,0,219296
24434,4930,3930,70,0,0,0,196692
24435,2160,2590,20,0,0,0,163102
24436,700,2070,60,0,0,0,157685
24437,2080,2620,20,0,0,0,166897
24438,2160,2620,30,0,280,10,166998
24439,2150,2600,30,600,730,10,165535
24440,2590,2730,30,0,0,0,172367
24441,2160,2640,20,0,0,0,169632
24442,2170,2610,20,0,0,0,166828
24443,2150,2900,20,0,0,0,181028
24444,2160,2620,20,0,0,0,167559
24445,2170,2650,20,0,0,0,169862
24446,2160,2890,20,0,2890,20,184975
24447,2170,2630,30,2170,1940,10,167489
24448,2180,2620,20,610,740,0,168410
24449,2170,6540,20,610,0,0,543077
24450,2260,2710,20,0,380,10,174370
24451,2200,2650,30,620,740,10,170102
24452,2170,2950,20,610,0,0,184225
24453,2180,2640,20,0,0,0,168490
24454,2160,2640,20,0,0,0,169111
24455,2200,2750,20,0,0,0,180488
24456,2170,2650,30,0,0,0,169532
24457,2140,2620,20,0,0,0,168180
24458,2150,2610,10,0,450,0,165617
24459,2480,2630,20,0,0,0,168119
24460,2170,2620,30,0,0,0,167700
24461,2160,2630,20,0,0,0,167519
24462,2150,2950,20,0,0,0,184655
24463,2150,2620,30,0,0,0,166987
24464,2160,2600,20,0,0,0,165726
24465,2170,2610,20,0,0,0,166357
24466,5360,7060,30,4200,1980,10,441906
24467,2040,1440,10,580,0,0,141911
24468,700,1200,20,0,0,0,119107
24469,680,1210,10,0,0,0,119657
24470,690,1200,10,0,0,0,118486
24471,680,1170,20,0,0,0,116112
24472,720,1690,60,0,0,0,146197
24473,2180,2650,30,0,0,0,169061
24474,2170,2650,20,0,260,10,168470
24475,2170,2610,20,610,730,10,167400
24476,2500,2620,30,2500,2620,30,167268
24477,2160,2610,30,1360,730,10,167138
24478,2170,2630,20,610,740,0,167028
24479,2150,2950,20,600,0,0,184013
24480,2180,2640,20,0,0,0,168370
24481,2170,2630,20,0,0,0,168802
24482,2160,2620,20,0,0,0,167198
24483,2520,2630,30,2520,2600,10,167840
24484,2190,2710,20,610,760,10,175810
24485,2160,2630,30,600,740,10,168170
24486,2480,2610,30,2480,2610,30,167258
24487,2160,2630,20,1380,740,0,167359
24488,2160,2630,20,600,740,10,167118
24489,2160,2740,20,610,0,0,179578
24490,2170,2640,30,0,0,0,169401
24491,2160,2630,10,0,630,0,167188
24492,2180,2610,30,610,730,10,165816
24493,2450,2610,20,2450,2610,20,166688
24494,2160,2620,20,1400,740,0,166968
24495,2180,2620,20,610,730,10,167750
24496,2140,2930,20,600,2930,20,182351
24497,2170,2640,10,2170,1510,0,167469
24498,2150,2630,30,600,740,10,168149
24499,5440,2680,30,0,0,0,381436
24500,7210,1290,20,1460,360,10,126307
24501,710,1210,10,200,340,0,118867
24502,940,1200,20,0,0,0,118546
24503,690,1250,10,0,0,0,122983
24504,690,1190,10,0,0,0,117825
24505,690,1190,10,0,0,0,117575
24506,710,1230,20,0,0,0,122411
24507,1570,2800,20,0,0,0,178025
24508,2240,2650,20,0,0,0,168440
24509,2060,2640,30,290,740,10,169763
24510,2180,2930,20,610,0,0,182721
24511,2100,2650,20,0,0,0,170184
24512,2170,2600,20,0,0,0,164684
24513,2080,2980,20,0,2980,20,194890
24514,2170,2630,20,2170,2630,20,168169
24515,2060,2620,30,640,740,10,168661
24516,2170,2640,30,610,740,10,170022
24517,2260,2640,20,0,0,0,169953
24518,2170,2610,20,0,0,0,165906
24519,2070,2620,20,460,740,0,167679
24520,2150,2780,20,600,0,0,182361
24521,2070,2650,20,0,0,0,170083
24522,2160,2630,20,0,610,10,168611
24523,2060,2620,20,570,740,0,167950
24524,2460,2630,20,0,0,0,167960
24525,2080,2750,20,0,0,0,168741
24526,2120,2610,30,0,0,0,168200
24527,2180,2950,20,0,2950,20,182141
24528,2080,2630,20,1950,730,10,168471
24529,2150,2610,20,600,730,10,165315
24530,2070,2610,30,580,730,10,166759
24531,2450,2640,20,0,0,0,167819
24532,2160,2620,20,0,0,0,166297
24533,8450,2220,80,0,0,0,205325
24534,4920,3910,30,0,0,0,207258
24535,2210,2800,30,360,0,0,184455
24536,2200,2630,30,0,0,0,167639
24537,2150,2600,30,0,640,10,166107
24538,2150,2580,30,600,720,10,164163
24539,2490,2750,20,0,0,0,172327
24540,2160,2640,20,0,0,0,168881
24541,2150,2610,20,0,0,0,166077
24542,2180,2930,30,0,2930,30,183693
24543,2170,2670,10,2020,750,0,170353
24544,2170,2610,20,610,730,0,166106
24545,2170,2630,20,610,730,10,168881
24546,2470,2660,20,2470,2660,20,171444
24547,2160,2620,20,1350,740,0,167099
24548,2170,2600,20,610,730,0,166106
24549,2180,2930,20,610,2930,20,183764
24550,2160,2620,30,2160,1510,10,168601
24551,2170,2630,20,610,740,0,168080
24552,2170,2770,20,610,0,0,182691
24553,2190,2630,30,0,0,0,168310
24554,2160,2610,20,0,630,10,166607
24555,7120,2750,30,0,0,0,176523
24556,2210,2650,20,550,740,10,169262
24557,2160,2770,20,600,0,0,181781
24558,2180,2630,20,0,0,0,167930
24559,2150,2650,20,0,640,10,170204
24560,2140,2600,20,600,730,0,165465
24561,2400,2640,20,2400,2640,20,168331
24562,2180,2620,30,2180,2620,30,167729
24563,2160,2610,20,790,730,0,166348
24564,2160,2760,20,610,0,0,181269
24565,2180,2650,20,0,0,0,170333
24566,4590,7630,40,580,0,0,221449
24567,2370,1270,10,0,0,0,125476
24568,720,1200,10,0,0,0,118135
24569,680,1180,20,0,0,0,116563
24570,670,1200,10,0,0,0,118166
24571,890,1250,20,0,0,0,123303
24572,690,1190,10,0,0,0,117595
24573,680,1190,10,0,0,0,117665
24574,680,1190,10,0,0,0,117164
24575,680,1190,20,0,0,0,117565
24576,830,1210,10,0,0,0,119988
24577,690,1210,10,0,0,0,119658
24578,690,1190,10,0,0,0,117795
