Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
171,156010033206,156010049547,156010052801,156010959706,156010981767,156010982448,8,8,8,8,4,4
172,156011258030,156011276775,156011284180,156012067275,156012091298,156012092019,8,8,8,8,4,4
173,156012367901,156012383120,156012385917,156013253909,156013264048,156013264659,8,8,8,8,4,4
174,156013467886,156013485770,156013491350,156014401500,156014422399,156014423000,8,8,8,8,4,4
175,156014670210,156014686830,156014690716,156015484741,156015505990,156015506671,8,8,8,8,4,4
176,156015803643,156015820334,156015827519,156016645408,156016667119,156016667800,8,8,8,8,4,4
177,156016931770,156016950054,156016958899,156017727036,156017737175,156017737736,8,8,8,8,4,4
178,156017936675,156017948928,156017952875,156018840554,156018850212,156018850783,8,8,8,8,4,4
179,156019073557,156019089777,156019095237,156019950866,156019970964,156019971585,8,8,8,8,4,4
180,156020233742,156020251685,156020256105,156021164352,156021186443,156021187164,8,8,8,8,4,4
181,156021449702,156021468086,156021476150,156022239337,156022249326,156022249856,8,8,8,8,4,4
182,156023123730,156023141833,156023147345,156023989199,156024050341,156024051092,9,9,9,9,4,4
183,156024331363,156024346551,156024362061,156025171505,156025192534,156025193165,9,9,9,9,4,4
184,156025466162,156025483484,156025492630,156026281175,156026291494,156026292045,9,9,9,9,4,4
185,156026502546,156026519257,156026524438,156027443545,156027464965,156027465706,9,9,9,9,4,4
186,156027729566,156027746929,156027755944,156028571819,156028582840,156028583461,9,9,9,9,4,4
187,156028795104,156028811555,156028816936,156029688425,156029709815,156029710486,9,9,9,9,4,4
188,156029961091,156029976781,156029978833,156030851544,156030873174,156030873895,9,9,9,9,4,4
189,156031138437,156031154516,156031156512,156032022280,156032046094,156032046786,9,9,9,9,4,4
190,156032333398,156032351020,156032358793,156033159460,156033169830,156033170381,9,9,9,9,4,4
191,156033382875,156033400458,156033404998,156034313215,156034334745,156034335446,9,9,9,9,4,4
192,156034599697,156034616869,156034626215,156035384684,156035394762,156035395313,9,9,9,9,4,4
193,156035596247,156035608389,156035612397,156036493413,156036502730,156036503241,9,9,9,9,4,4
194,156036713472,156036729692,156036734942,156037609065,156037629062,156037629714,9,9,9,9,4,4
