phase,block,sample_end,samples,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,over_1ms,over_5ms,elapsed_seconds,heap_bytes,rss_bytes,gen2,block_gen2,block_lifecycle_cpu_ms,block_wall_ms
A1,85,8500,100,0.18129,0.199297,0.199889,0.204904,0.204904,0,0,4.5603581,6458704,64299008,268,3,51.541,32.30149999999998
A1,86,8600,100,0.181333,0.200636,0.202153,0.208812,0.208812,0,0,4.5924278,7475520,64299008,271,3,51.15,32.06970000000009
A1,87,8700,100,0.18145,0.199658,0.201228,0.205856,0.205856,0,0,4.6246522,8499744,64299008,274,3,51.395,32.2243999999996
A1,88,8800,100,0.181484,0.200345,0.203055,0.203436,0.203436,0,0,4.6570759,1347528,64299008,278,4,51.442,32.42369999999983
A1,89,8900,100,0.183254,0.234001,0.252085,0.25493,0.25493,0,0,4.6901253,2363688,64307200,281,3,56.405,33.04940000000034
A1,90,9000,100,0.211068,0.233311,0.235246,0.236637,0.236637,0,0,4.7235838,3390680,64307200,284,3,61.786,33.45850000000006
A1,91,9100,100,0.211329,0.232328,0.237307,0.238249,0.238249,0,0,4.7571131,4412544,64307200,287,3,62.222,33.52929999999965
A1,92,9200,100,0.209225,0.234312,0.23966,0.242916,0.242916,0,0,4.7897101,5433688,64307200,290,3,58.038,32.59699999999999
A1,93,9300,100,0.181324,0.200616,0.203716,0.204924,0.204924,0,0,4.8214796,6451128,64307200,293,3,50.687,31.769500000000228
A1,94,9400,100,0.18141,0.200877,0.209517,0.209675,0.209675,0,0,4.853666,7474768,64307200,296,3,51.322,32.186399999999615
A1,95,9500,100,0.181344,0.199825,0.201632,0.206521,0.206521,0,0,4.8855487,8500320,64307200,299,3,50.881,31.882700000000597
A1,96,9600,100,0.181434,0.200681,0.205519,0.215829,0.215829,0,0,4.9182412,1348104,64307200,303,4,51.83,32.69249999999957
A1,97,9700,100,0.181711,0.20058,0.20696,0.369865,0.369865,0,0,4.9509285,2365560,64311296,306,3,52.181,32.687300000000086
A1,98,9800,100,0.182185,0.200716,0.205499,0.212099,0.212099,0,0,4.9838359,3382944,64311296,309,3,52.117,32.90740000000003
A1,99,9900,100,0.182432,0.203812,0.232681,0.35961,0.35961,0,0,5.0170165,4408584,64311296,312,3,52.292,33.18060000000056
A1,100,10000,100,0.181571,0.200856,0.234342,0.239432,0.239432,0,0,5.0492771,5442800,64311296,315,3,50.847,32.26059999999986
B,1,100,100,0.86626,0.946882,0.958605,0.968286,0.968286,0,0,0.1261564,2305736,54870016,6,,,
B,2,200,100,0.869286,0.934443,0.941684,0.948038,0.948038,0,0,0.2432035,3350672,56205312,9,3,165.291,117.04709999999999
B,3,300,100,0.869497,0.99281,1.012969,1.190085,1.190085,4,0,0.3595696,4385592,56229888,12,3,154.795,116.3661
B,4,400,100,0.824806,0.92973,0.933287,0.937997,0.937997,0,0,0.4721174,5408200,56246272,15,3,143.39,112.54780000000004
B,5,500,100,0.869336,0.929049,0.939699,0.966011,0.966011,0,0,0.5871785,6433816,56250368,18,3,152.216,115.06110000000002
B,6,600,100,1.065286,1.640131,1.801475,1.822326,1.822326,83,0,0.7342739,7467312,56889344,21,3,211.915,147.09539999999998
B,7,700,100,0.805456,1.14628,1.189381,1.200372,1.200372,25,0,0.8628564,8494840,57196544,24,3,202.512,128.58249999999992
B,8,800,100,0.758628,1.066129,1.076428,1.0824,1.0824,8,0,0.9806402,1335992,57298944,28,4,167.418,117.7838
B,9,900,100,0.694758,1.083692,1.110333,15.301584,15.301584,30,1,1.1299842,2353296,58462208,31,3,243.109,149.34400000000002
B,10,1000,100,0.694591,0.792331,0.793738,0.795097,0.795097,0,0,1.2372124,3379112,58466304,34,3,139.901,107.2282
B,11,1100,100,0.727178,0.794598,0.803606,0.829844,0.829844,0,0,1.3458756,4396320,58466304,37,3,145.747,108.66320000000007
B,12,1200,100,0.34478,1.05046,1.068123,1.072281,1.072281,15,0,1.4414896,5330824,57823232,40,3,171.744,95.61399999999986
B,13,1300,100,0.233718,0.315134,0.341894,0.354839,0.354839,0,0,1.4865108,6452696,59109376,43,3,72.521,45.02120000000009
B,14,1400,100,0.235866,0.259818,0.267415,0.268494,0.268494,0,0,1.5279739,7485688,59109376,46,3,63.084,41.46310000000008
B,15,1500,100,0.234925,0.254998,0.258736,0.265171,0.265171,0,0,1.5692142,8503136,59109376,49,3,62.797,41.2402999999999
B,16,1600,100,0.234414,0.252594,0.25597,0.256382,0.256382,0,0,1.6108621,1349944,59109376,53,4,63.244,41.64790000000007
B,17,1700,100,0.234814,0.260609,0.297882,0.326906,0.326906,0,0,1.6524879,2367392,59109376,56,3,63.571,41.62579999999983
B,18,1800,100,0.315024,0.341173,0.344208,0.344699,0.344699,0,0,1.7101759,3279936,57335808,59,3,112.864,57.68800000000019
B,19,1900,100,0.232791,0.257533,0.26562,0.277154,0.277154,0,0,1.7511161,4418608,59400192,62,3,62.826,40.94019999999987
B,20,2000,100,0.235082,0.254477,0.263428,0.267545,0.267545,0,0,1.7921022,5436032,59400192,65,3,61.76,40.98610000000002
B,21,2100,100,0.235633,0.257353,0.26427,0.266063,0.266063,0,0,1.83315,6453400,59400192,68,3,61.877,41.04780000000008
B,22,2200,100,0.235145,0.254919,0.258946,0.266755,0.266755,0,0,1.8738371,7486392,59400192,71,3,61.166,40.68709999999997
B,23,2300,100,0.236323,0.310314,0.338357,0.341353,0.341353,0,0,1.9161421,8500840,59412480,74,3,65.148,42.305000000000035
B,24,2400,100,0.315645,0.344339,0.350932,0.351543,0.351543,0,0,1.9788483,1236960,56713216,78,4,121.446,62.706199999999825
B,25,2500,100,0.23267,0.303903,0.325003,0.341383,0.341383,0,0,2.021187,2368072,59572224,81,3,66.515,42.33869999999995
B,26,2600,100,0.23445,0.251697,0.261103,0.276132,0.276132,0,0,2.062063,3385408,59576320,84,3,61.369,40.87600000000036
B,27,2700,100,0.235131,0.258709,0.262994,0.348809,0.348809,0,0,2.1033866,4419184,59576320,87,3,62.037,41.323599999999686
B,28,2800,100,0.23445,0.252825,0.263585,0.264407,0.264407,0,0,2.1443901,5436608,59576320,90,3,61.569,41.003499999999974
B,29,2900,100,0.233668,0.254491,0.288995,0.306528,0.306528,0,0,2.1855792,6462304,59592704,93,3,61.975,41.18909999999998
B,30,3000,100,0.311697,0.341383,0.343638,0.347445,0.347445,0,0,2.244411,7374264,59252736,96,3,115.779,58.8318000000001
B,31,3100,100,0.2292,0.255062,0.26093,0.26589,0.26589,0,0,2.2854536,8504416,59740160,99,3,60.597,41.04259999999993
B,32,3200,100,0.231288,0.25029,0.262312,0.26656,0.26656,0,0,2.3264099,1351224,59740160,103,4,61.316,40.95629999999994
B,33,3300,100,0.296609,0.332687,0.338588,0.369366,0.369366,0,0,2.3759943,2271624,57327616,106,3,88.558,49.58440000000009
B,34,3400,100,0.232578,0.263236,0.26528,0.269387,0.269387,0,0,2.4262918,3289656,58540032,109,3,98.569,50.297500000000106
B,35,3500,100,0.230434,0.256894,0.271351,0.285769,0.285769,0,0,2.473659,4307224,61161472,112,3,94.403,47.367200000000054
B,36,3600,100,0.231446,0.256233,0.259098,0.262594,0.262594,0,0,2.5197179,5333088,61607936,115,3,90.158,46.058899999999795
B,37,3700,100,0.24981,0.281591,0.285578,0.296609,0.296609,0,0,2.5680069,6350728,62070784,118,3,95.753,48.28900000000003
B,38,3800,100,0.248959,0.277944,0.283214,0.285317,0.285317,0,0,2.6162842,7372632,62509056,121,3,96.745,48.27730000000008
B,39,3900,100,0.246725,0.278304,0.285839,0.287602,0.287602,0,0,2.6622961,8394920,63057920,124,3,84.554,46.01189999999988
B,40,4000,100,0.186409,0.209443,0.22728,0.232298,0.232298,0,0,2.6962681,1351880,63160320,128,4,53.216,33.972000000000335
B,41,4100,100,0.189419,0.20639,0.211837,0.214487,0.214487,0,0,2.7306193,2369288,63160320,131,3,53.566,34.35119999999969
B,42,4200,100,0.203634,0.257986,0.270941,0.274687,0.274687,0,0,2.7676857,3282048,61100032,134,3,64.352,37.06640000000006
B,43,4300,100,0.246054,0.274066,0.279296,0.368193,0.368193,0,0,2.815583,4307816,61534208,137,3,94.77,47.89730000000026
B,44,4400,100,0.248368,0.279517,0.290257,0.291089,0.291089,0,0,2.8666445,5346680,62177280,140,3,97.22,51.06149999999987
B,45,4500,100,0.22764,0.248619,0.250372,0.255692,0.255692,0,0,2.9044245,6470568,63467520,143,3,70.637,37.78000000000014
B,46,4600,100,0.226575,0.247827,0.253758,0.259692,0.259692,0,0,2.9408035,7493504,63467520,146,3,67.707,36.37899999999972
B,47,4700,100,0.241896,0.27038,0.275359,0.279687,0.279687,0,0,2.9839172,8413296,63524864,149,3,79.715,43.113700000000144
B,48,4800,100,0.226898,0.25984,0.273495,0.275911,0.275911,0,0,3.0308388,1358736,63557632,153,4,89.347,46.92160000000012
B,49,4900,100,0.205768,0.229531,0.234992,0.25451,0.25451,0,0,3.0643829,2375912,63655936,156,3,62.916,33.54409999999986
B,50,5000,100,0.18143,0.200439,0.207759,0.208261,0.208261,0,0,3.0977973,3393304,63655936,159,3,52.714,33.414399999999844
B,51,5100,100,0.180047,0.197424,0.202394,0.207373,0.207373,0,0,3.1304458,4418944,63655936,162,3,51.759,32.648500000000084
B,52,5200,100,0.179847,0.202513,0.208714,0.210545,0.210545,0,0,3.1632209,5444592,63655936,165,3,51.968,32.77509999999984
B,53,5300,100,0.179359,0.197932,0.198673,0.204915,0.204915,0,0,3.1957629,6462016,63655936,168,3,51.662,32.54200000000029
B,54,5400,100,0.179239,0.199003,0.203265,0.204143,0.204143,0,0,3.2282593,7487048,63655936,171,3,52.159,32.496399999999866
B,55,5500,100,0.179567,0.196812,0.199174,0.199975,0.199975,0,0,3.2607141,8511128,63655936,174,3,51.694,32.454800000000006
B,56,5600,100,0.179309,0.198292,0.203525,0.204597,0.204597,0,0,3.2934974,1359200,63655936,178,4,51.919,32.78330000000018
B,57,5700,100,0.178969,0.196689,0.205789,0.206227,0.206227,0,0,3.3258744,2376608,63655936,181,3,51.599,32.37699999999988
B,58,5800,100,0.176464,0.204012,0.235262,0.246344,0.246344,0,0,3.3589268,3393880,63655936,184,3,51.403,33.05239999999987
